File 0305_0.9_0.2.jpg: PSNR=16.19, SSIM=0.8398, time=0.0429s
File 0306_0.8_0.16.jpg: PSNR=16.70, SSIM=0.8878, time=0.0423s
File 0307_0.8_0.12.jpg: PSNR=13.88, SSIM=0.7880, time=0.0370s
File 0308_1_0.16.jpg: PSNR=15.92, SSIM=0.8909, time=0.0426s
File 0309_1_0.08.jpg: PSNR=14.30, SSIM=0.8696, time=0.0430s
File 0311_0.8_0.16.jpg: PSNR=15.97, SSIM=0.8860, time=0.0404s
File 0312_0.8_0.12.jpg: PSNR=17.83, SSIM=0.9017, time=0.0467s
File 0313_0.8_0.2.jpg: PSNR=14.24, SSIM=0.8294, time=0.0763s
File 0314_0.9_0.12.jpg: PSNR=18.68, SSIM=0.8967, time=0.0815s
File 0315_0.85_0.16.jpg: PSNR=11.33, SSIM=0.7685, time=0.0803s
File 0316_0.85_0.12.jpg: PSNR=14.66, SSIM=0.8925, time=0.0535s
File 0317_0.85_0.08.jpg: PSNR=17.55, SSIM=0.9132, time=0.0465s
File 0318_0.85_0.2.jpg: PSNR=14.19, SSIM=0.8436, time=0.0544s
File 0319_0.9_0.16.jpg: PSNR=19.05, SSIM=0.9392, time=0.0547s
File 0320_0.9_0.08.jpg: PSNR=18.29, SSIM=0.8993, time=0.0506s
File 0320_1_0.16.jpg: PSNR=19.01, SSIM=0.8989, time=0.0508s
File 0321_1_0.12.jpg: PSNR=23.48, SSIM=0.8579, time=0.0568s
File 0323_0.8_0.16.jpg: PSNR=16.83, SSIM=0.8753, time=0.0525s
File 0324_0.8_0.12.jpg: PSNR=16.13, SSIM=0.8530, time=0.0565s
File 0325_0.9_0.16.jpg: PSNR=15.86, SSIM=0.8460, time=0.0539s
File 0326_0.9_0.12.jpg: PSNR=17.27, SSIM=0.8969, time=0.0507s
File 0327_1_0.08.jpg: PSNR=13.40, SSIM=0.7839, time=0.0526s
File 0329_0.8_0.12.jpg: PSNR=14.74, SSIM=0.7830, time=0.0526s
File 0330_0.8_0.08.jpg: PSNR=16.93, SSIM=0.8331, time=0.0546s
File 0330_0.95_0.12.jpg: PSNR=17.86, SSIM=0.8488, time=0.0514s
File 0331_0.95_0.12.jpg: PSNR=16.99, SSIM=0.8758, time=0.0503s
File 0332_0.95_0.08.jpg: PSNR=17.62, SSIM=0.8804, time=0.0397s
File 0333_0.95_0.2.jpg: PSNR=16.05, SSIM=0.8642, time=0.0438s
File 0334_1_0.08.jpg: PSNR=20.44, SSIM=0.9329, time=0.0420s
File 0335_1_0.2.jpg: PSNR=15.09, SSIM=0.8604, time=0.0388s
File 0337_0.8_0.08.jpg: PSNR=9.75, SSIM=0.7066, time=0.0414s
File 0338_0.9_0.12.jpg: PSNR=10.56, SSIM=0.7809, time=0.0398s
File 0340_0.85_0.08.jpg: PSNR=13.68, SSIM=0.7822, time=0.0425s
File 0341_0.85_0.2.jpg: PSNR=16.38, SSIM=0.8275, time=0.0729s
File 0342_0.95_0.08.jpg: PSNR=20.08, SSIM=0.9041, time=0.0400s
File 0343_0.95_0.2.jpg: PSNR=21.76, SSIM=0.9139, time=0.0461s
File 0344_0.85_0.16.jpg: PSNR=13.70, SSIM=0.8425, time=0.0636s
File 0345_0.85_0.12.jpg: PSNR=15.35, SSIM=0.8706, time=0.0397s
File 0346_0.95_0.16.jpg: PSNR=17.39, SSIM=0.8647, time=0.0384s
File 0348_0.8_0.2.jpg: PSNR=18.86, SSIM=0.8875, time=0.0421s
File 0349_0.9_0.08.jpg: PSNR=19.02, SSIM=0.8929, time=0.0456s
File 0350_0.85_0.12.jpg: PSNR=21.49, SSIM=0.9300, time=0.0768s
File 0351_0.95_0.16.jpg: PSNR=15.27, SSIM=0.8723, time=0.0389s
File 0353_0.9_0.12.jpg: PSNR=12.11, SSIM=0.7928, time=0.0614s
File 0354_0.9_0.08.jpg: PSNR=19.67, SSIM=0.8894, time=0.0429s
File 0355_0.85_0.12.jpg: PSNR=14.01, SSIM=0.8079, time=0.0381s
File 0356_0.85_0.08.jpg: PSNR=18.37, SSIM=0.8568, time=0.0370s
File 0357_0.95_0.12.jpg: PSNR=22.12, SSIM=0.9060, time=0.0466s
File 0359_0.85_0.16.jpg: PSNR=21.17, SSIM=0.8958, time=0.0357s
File 0361_0.85_0.2.jpg: PSNR=15.46, SSIM=0.8905, time=0.0636s
File 0362_0.95_0.08.jpg: PSNR=19.47, SSIM=0.9271, time=0.0382s
